Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6miUySWi347iIJyz7ETo6m,Got My Mind Set On You - Extended Version,George Harrison,Cloud Nine,1987-11-02,7,"album rock,beatlesque,classic rock,folk rock,mellow gold,rock,singer-songwriter,soft rock",0.797,0.814,11.0,-7.229,1.0,0.0382,0.426,3.94e-05,0.581,0.874,149.42,4.0
spotify:track:3GdToSzgYd9DKnZEH2YdIg,Downtown,Petula Clark,Downtown - The Best of Petula Clark,1996-01-01,41,"adult standards,bubblegum pop,easy listening,folk rock,merseybeat,rock-and-roll,rockabilly",0.48,0.542,4.0,-9.873,1.0,0.0428,0.803,0.0,0.147,0.614,,4.0
spotify:track:1qfYG2JrchEyJiqKnkE7YQ,What You Know,Two Door Cinema Club,Tourist History,2010-02-07,0,"indie rock,indietronica,irish rock,modern alternative rock,modern rock,northern irish indie",0.55,0.753,6.0,-4.003,0.0,0.0407,0.000665,7.74e-06,0.0921,0.841,139.048,4.0
spotify:track:2o1snIISD13qYK7JiFFIR8,Get Up (Rattle) [feat. Far East Movement],Bingo Players,Get Up (Rattle),2013-01-21,0,"big room,dutch house,edm,electro house,melbourne bounce,pop dance,progressive electro house,progressive house",0.801,0.985,7.0,-2.69,1.0,0.0647,0.0205,7.21e-06,0.298,0.722,127.992,4.0
spotify:track:39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),1982,83,"alternative rock,permanent wave,punk,rock",0.743,0.836,2.0,-6.465,1.0,0.116,0.0804,0.0,0.384,0.82,113.375,4.0
spotify:track:3xoAQkH410WVVQOfvwcAqu,Raincloud,Lighthouse Family,Postcards From Heaven,1997-01-01,0,"europop,new wave pop",0.651,0.803,2.0,-8.372,0.0,0.0327,0.0362,2.07e-05,0.327,0.788,116.874,4.0
spotify:track:1it9umP1j9qSqzKbSLLqqy,Chain Reaction,Diana Ross,Eaten Alive,1985-09-24,63,"adult standards,disco,motown,quiet storm,soft rock,soul",0.794,0.55,11.0,-12.988,1.0,0.0367,0.155,0.000271,0.113,0.744,127.736,4.0
spotify:track:5JaP31DJjoF1ljLzl3MvnS,Weapon Of Choice,Fatboy Slim,Why Try Harder,2006-06-18,0,"big beat,electronica",0.619,0.952,8.0,-4.452,0.0,0.0578,0.134,0.788,0.184,0.949,195.938,4.0
spotify:track:2CBSaKuKgKCa40jEbitmcv,Stop Your Fussin',Toni Childs,Union,1988-01-01,47,,0.815,0.514,5.0,-13.734,1.0,0.0349,0.183,2.13e-06,0.0949,0.811,118.299,4.0
spotify:track:1yxq9qEfCssIhQGWJVS2rF,Fake It,Sore,Fake It,2021-07-16,0,romanian pop,0.768,0.795,5.0,-5.569,1.0,0.141,0.231,0.00613,0.173,0.718,112.059,4.0
spotify:track:6mDTcLsheIzu5tvaF25kl4,It Ain't Me,"Kygo, Selena Gomez",Stargazing - EP,2017-09-21,0,"edm,pop,pop dance,tropical house,pop,post-teen pop",0.607,0.536,0.0,-6.735,1.0,0.0927,0.113,0.0,0.0812,0.461,100.027,4.0
spotify:track:5bjb35Y4hHFc7YgcgesdIu,People Everyday - Metamorphosis Mix,Arrested Development,RnB Fridays,2015-10-30,0,"atl hip hop,conscious hip hop,hip hop,old school atlanta hip hop",0.842,0.514,8.0,-13.729,1.0,0.225,0.00848,1.02e-06,0.55,0.706,91.118,4.0
spotify:track:6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,"Earth\, Wind & Fire, The Emotions",I Am,1979-06,80,"disco,funk,jazz funk,soul,chicago soul,classic soul,disco,funk,girl group,motown,post-disco,quiet storm,soul",0.802,0.756,2.0,-10.791,0.0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4.0
spotify:track:0BHNSNcbTxQSwxXNnr9oUw,Tonight I Wanna Cry,Keith Urban,Greatest Hits,2007-01-01,46,"australian country,australian pop,contemporary country,country,country road",0.557,0.385,7.0,-7.835,1.0,0.0262,0.874,0.0,0.175,0.148,103.73,4.0
spotify:track:1aBO5KPwxqLESNTTJBR6VP,Thank You for the Broken Heart,J Rice,12+,2014-02-18,53,"antiviral pop,pixel,viral pop",0.704,0.587,8.0,-6.553,1.0,0.0441,0.178,0.0,0.105,0.282,119.933,4.0
spotify:track:0YEsfwQpG7ofdIiHWA0dHi,All I Ever Need,Austin Mahone,The Secret,2014,69,"pop,post-teen pop",0.708,0.647,11.0,-6.128,1.0,0.0298,0.117,0.0,0.111,0.654,129.95,4.0
spotify:track:3CY7wjLc1CaAIrp9buEWhG,Simple Kind Of Life,No Doubt,Return Of Saturn,2000,54,"dance pop,dance rock,permanent wave,pop rock,rock",0.576,0.849,0.0,-5.199,1.0,0.0355,0.0678,0.0,0.278,0.482,119.999,4.0
spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),"Shakira, Freshlyground",Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2010-05-07,16,"colombian pop,dance pop,latin pop,pop,african rock,afropop,south african jazz,south african pop,south african pop dance",0.766,0.873,11.0,-6.381,0.0,0.143,0.00627,0.0,0.0764,0.743,126.988,4.0
spotify:track:0RVeadY2MbHz4Pe4MreLNw,Rocket,Def Leppard,Hysteria,1987-08-03,59,"album rock,classic rock,glam metal,hard rock,nwobhm,rock",0.521,0.916,11.0,-6.822,1.0,0.0467,0.000249,0.00116,0.948,0.398,81.998,4.0
spotify:track:1kElUlboZiuwVXnv1FSiYQ,Down On The Border,Little River Band,Greatest Hits,2014-01-01,0,"album rock,classic rock,country rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.69,0.412,9.0,-10.074,0.0,0.0392,0.63,4.03e-05,0.052,0.573,130.74,4.0
spotify:track:5165YVSgUjNbqKhC3D0xBc,When Will I Be Famous?,Bros,The Best of Bros,2004,40,"new romantic,new wave pop",0.632,0.781,5.0,-9.26,1.0,0.0289,0.0489,1.76e-05,0.165,0.618,123.476,4.0
